sepal_length,sepal_width,petal_length,petal_width,target,species,flower_id,event_timestamp
5.1,3.5,1.4,0.2,0,setosa,1,2025-11-08 05:52:04.518072
4.9,3.0,1.4,0.2,0,setosa,2,2025-11-08 05:52:04.518072
4.7,3.2,1.3,0.2,0,setosa,3,2025-11-08 05:52:04.518072
4.6,3.1,1.5,0.2,0,setosa,4,2025-11-08 05:52:04.518072
5.0,3.6,1.4,0.2,0,setosa,5,2025-11-08 05:52:04.518072
5.4,3.9,1.7,0.4,0,setosa,6,2025-11-08 05:52:04.518072
4.6,3.4,1.4,0.3,0,setosa,7,2025-11-08 05:52:04.518072
5.0,3.4,1.5,0.2,0,setosa,8,2025-11-08 05:52:04.518072
4.4,2.9,1.4,0.2,0,setosa,9,2025-11-08 05:52:04.518072
4.9,3.1,1.5,0.1,0,setosa,10,2025-11-08 05:52:04.518072
5.4,3.7,1.5,0.2,0,setosa,11,2025-11-08 05:52:04.518072
4.8,3.4,1.6,0.2,0,setosa,12,2025-11-08 05:52:04.518072
4.8,3.0,1.4,0.1,0,setosa,13,2025-11-08 05:52:04.518072
4.3,3.0,1.1,0.1,0,setosa,14,2025-11-08 05:52:04.518072
5.8,4.0,1.2,0.2,0,setosa,15,2025-11-08 05:52:04.518072
5.7,4.4,1.5,0.4,0,setosa,16,2025-11-08 05:52:04.518072
5.4,3.9,1.3,0.4,0,setosa,17,2025-11-08 05:52:04.518072
5.1,3.5,1.4,0.3,0,setosa,18,2025-11-08 05:52:04.518072
5.7,3.8,1.7,0.3,0,setosa,19,2025-11-08 05:52:04.518072
5.1,3.8,1.5,0.3,0,setosa,20,2025-11-08 05:52:04.518072
5.4,3.4,1.7,0.2,0,setosa,21,2025-11-08 05:52:04.518072
5.1,3.7,1.5,0.4,0,setosa,22,2025-11-08 05:52:04.518072
4.6,3.6,1.0,0.2,0,setosa,23,2025-11-08 05:52:04.518072
5.1,3.3,1.7,0.5,0,setosa,24,2025-11-08 05:52:04.518072
4.8,3.4,1.9,0.2,0,setosa,25,2025-11-08 05:52:04.518072
5.0,3.0,1.6,0.2,0,setosa,26,2025-11-08 05:52:04.518072
5.0,3.4,1.6,0.4,0,setosa,27,2025-11-08 05:52:04.518072
5.2,3.5,1.5,0.2,0,setosa,28,2025-11-08 05:52:04.518072
5.2,3.4,1.4,0.2,0,setosa,29,2025-11-08 05:52:04.518072
4.7,3.2,1.6,0.2,0,setosa,30,2025-11-08 05:52:04.518072
4.8,3.1,1.6,0.2,0,setosa,31,2025-11-08 05:52:04.518072
5.4,3.4,1.5,0.4,0,setosa,32,2025-11-08 05:52:04.518072
5.2,4.1,1.5,0.1,0,setosa,33,2025-11-08 05:52:04.518072
5.5,4.2,1.4,0.2,0,setosa,34,2025-11-08 05:52:04.518072
4.9,3.1,1.5,0.2,0,setosa,35,2025-11-08 05:52:04.518072
5.0,3.2,1.2,0.2,0,setosa,36,2025-11-08 05:52:04.518072
5.5,3.5,1.3,0.2,0,setosa,37,2025-11-08 05:52:04.518072
4.9,3.6,1.4,0.1,0,setosa,38,2025-11-08 05:52:04.518072
4.4,3.0,1.3,0.2,0,setosa,39,2025-11-08 05:52:04.518072
5.1,3.4,1.5,0.2,0,setosa,40,2025-11-08 05:52:04.518072
5.0,3.5,1.3,0.3,0,setosa,41,2025-11-08 05:52:04.518072
4.5,2.3,1.3,0.3,0,setosa,42,2025-11-08 05:52:04.518072
4.4,3.2,1.3,0.2,0,setosa,43,2025-11-08 05:52:04.518072
5.0,3.5,1.6,0.6,0,setosa,44,2025-11-08 05:52:04.518072
5.1,3.8,1.9,0.4,0,setosa,45,2025-11-08 05:52:04.518072
4.8,3.0,1.4,0.3,0,setosa,46,2025-11-08 05:52:04.518072
5.1,3.8,1.6,0.2,0,setosa,47,2025-11-08 05:52:04.518072
4.6,3.2,1.4,0.2,0,setosa,48,2025-11-08 05:52:04.518072
5.3,3.7,1.5,0.2,0,setosa,49,2025-11-08 05:52:04.518072
5.0,3.3,1.4,0.2,0,setosa,50,2025-11-08 05:52:04.518072
7.0,3.2,4.7,1.4,1,versicolor,51,2025-11-08 05:52:04.518072
6.4,3.2,4.5,1.5,1,versicolor,52,2025-11-08 05:52:04.518072
6.9,3.1,4.9,1.5,1,versicolor,53,2025-11-08 05:52:04.518072
5.5,2.3,4.0,1.3,1,versicolor,54,2025-11-08 05:52:04.518072
6.5,2.8,4.6,1.5,1,versicolor,55,2025-11-08 05:52:04.518072
5.7,2.8,4.5,1.3,1,versicolor,56,2025-11-08 05:52:04.518072
6.3,3.3,4.7,1.6,1,versicolor,57,2025-11-08 05:52:04.518072
4.9,2.4,3.3,1.0,1,versicolor,58,2025-11-08 05:52:04.518072
6.6,2.9,4.6,1.3,1,versicolor,59,2025-11-08 05:52:04.518072
5.2,2.7,3.9,1.4,1,versicolor,60,2025-11-08 05:52:04.518072
